SA2Region,numberOfCars
101011001,7947
101011002,4269
101011003,2227
101011004,3512
101011005,3693
101011006,2822
101021007,1270
101021008,2974
101021009,4193
101021010,1930
101021011,4415
101021012,4076
101031013,973
101031014,2597
101031015,1193
101031016,1920
101041017,2843
101041018,3076
101041019,3021
101041020,3204
101041021,1100
101041022,21
101041023,1241
101041024,1181
101041025,3893
101041026,3047
101041027,3507
102011028,2326
102011029,3744
102011030,1455
102011031,4900
102011032,7339
102011033,1995
102011034,2640
102011035,2197
102011036,2575
102011037,2237
102011038,2410
102011039,4509
102011040,8796
102011041,3014
102011042,5287
102011043,4009
102021044,7724
102021045,3501
102021046,3528
102021047,5175
102021048,7620
102021049,916
102021050,3958
102021051,1582
102021052,1983
102021053,5624
102021054,3592
102021055,1632
102021056,3724
102021057,2966
103011058,8084
103011059,3060
103011060,2251
103011061,1614
103021062,2527
103021063,3317
103021064,2048
103021065,3641
103021066,1441
103021067,3862
103021068,1243
103021069,2176
103031070,4633
103031071,2812
103031072,3698
103031073,1333
103031074,3547
103031075,0
103041076,2470
103041077,7203
103041078,5602
103041079,3802
104011080,6821
104011081,5385
104011082,6207
104021083,2115
104021084,6212
104021085,3725
104021086,1228
104021087,1280
104021088,2614
104021089,6983
104021090,1851
104021091,4197
105011092,1321
105011093,1662
105011094,1551
105011095,1868
105011096,2427
105021097,7068
105021098,938
105031099,3008
105031100,3612
105031101,5832
105031102,2542
105031103,1708
105031104,1620
105031105,2367
105031106,2985
106011107,3080
106011108,6926
106011109,2400
106011110,3025
106011111,5780
106011112,5433
106011113,1572
106021114,1701
106021115,9346
106021116,2221
106021117,6278
106021118,2805
106031119,1888
106031120,2451
106031121,7491
106031122,4902
106031123,1591
106031124,1880
106031125,4151
106041126,4037
106041127,1311
106041128,2164
106041129,2906
107011130,9720
107011131,7955
107011132,2299
107011133,0
107011134,5026
107021135,0
107031136,4252
107031137,2379
107031138,2823
107031139,1946
107031140,2409
107031141,4366
107031142,3382
107031143,7332
107041144,7316
107041145,5891
107041146,6926
107041147,2609
107041148,3656
107041149,11289
107041150,6682
108011151,1712
108011152,5479
108011153,2090
108011154,2575
108021155,4893
108021156,3377
108021157,1732
108021158,2796
108021159,2749
108021160,2024
108031161,135
108041162,6210
108041163,10395
108041164,6065
108041165,1803
108041166,3622
108051167,1935
108051168,3591
108051169,7558
108051170,4359
108051171,2001
109011172,4498
109011173,3441
109011174,4108
109011175,3771
109011176,5547
109021177,1122
109021178,2067
109021179,1260
109031180,2199
109031181,2430
109031182,2764
109031183,2478
109031184,1903
109031185,3548
110011186,7718
110011187,1547
110011188,2121
110011189,1232
110021190,3312
110021191,4202
110021192,1832
110021193,2195
110021194,2591
110031195,2735
110031196,1869
110031197,2450
110031198,1701
110041199,3208
110041200,1538
110041201,2855
110041202,7261
110041203,5035
110041204,1718
110041205,6270
111011206,6228
111011207,2259
111011208,8787
111011209,8152
111011210,3107
111011211,1293
111011212,3980
111011213,4145
111011214,4861
111021215,3063
111021216,2923
111021217,3848
111021218,4824
111021219,4897
111021220,3280
111021221,2014
111031222,5745
111031223,3047
111031224,4709
111031225,6315
111031226,3566
111031227,5618
111031228,5252
111031229,4446
111031230,8
111031231,3408
111031232,2232
111031233,6985
111031234,4515
111031235,3155
112011236,6758
112011237,5751
112011238,1876
112011239,3004
112011240,3169
112011241,2007
112011242,2613
112011243,2671
112021244,4372
112021245,2379
112021246,4755
112021247,2847
112021248,5955
112021249,5262
112031250,4181
112031251,3012
112031252,3416
112031253,4370
112031254,7400
112031255,10009
113011256,5985
113011257,4302
113011258,3288
113011259,2214
113021260,1254
113021261,2304
113021262,1733
113031263,2879
113031264,1336
113031265,1796
113031266,2423
113031267,5639
113031268,988
113031269,7281
113031270,4650
113031271,4703
114011272,3269
114011273,1244
114011274,1899
114011275,8
114011276,1529
114011277,5630
114011278,6110
114011279,4723
114011280,1761
114011281,1100
114011282,5590
114011283,1812
114021284,4638
114021285,1829
114021286,2915
114021287,3318
114021288,1218
114021289,2295
115011290,7239
115011291,5510
115011292,8994
115011293,7198
115011294,1817
115011295,6721
115011296,3746
115021297,6206
115021298,1675
115031299,823
115031300,6566
115041301,2813
115041302,5036
116011303,5154
116011304,5374
116011305,8429
116011306,5694
116011307,7996
116011308,7279
116021309,4174
116021310,6405
116021311,7731
116021312,3724
116031313,5339
116031314,2281
116031315,5219
116031316,4725
116031317,6353
116031318,0
116031319,5440
117011320,3
117011321,2887
117011322,6896
117011323,3789
117011324,0
117011325,0
117021326,8850
117021327,7331
117021328,2621
117031329,4619
117031330,6391
117031331,7136
117031332,8403
117031333,8880
117031334,7441
117031335,6997
117031336,6747
117031337,8030
117031338,8446
118011339,6616
118011340,7613
118011341,5956
118011342,0
118011343,9155
118011344,3858
118011345,5992
118011346,3799
118011347,2960
118021348,9309
118021349,8825
118021350,6537
118021351,10626
118021352,10692
119011353,8956
119011354,6079
119011355,0
119011356,2895
119011357,6750
119011358,5275
119011359,8093
119011360,4817
119011361,5518
119021362,5977
119021363,8604
119021364,7463
119021365,7365
119021366,5222
119021367,4081
119031368,6443
119031369,8202
119031370,4267
119031371,4061
119031372,5826
119031373,3334
119031374,7391
119041375,4725
119041376,8015
119041377,3941
119041378,3365
119041379,5180
119041380,5082
119041381,5816
119041382,5803
120011383,6668
120011384,6171
120011385,6580
120011386,7471
120021387,6112
120021388,9592
120021389,5125
120031390,8175
120031391,6823
120031392,3326
120031393,5539
120031394,6107
120031395,4818
120031396,4025
120031397,8075
121011398,9039
121011399,6822
121011400,8589
121011401,3980
121011402,8106
121021403,5762
121021404,3685
121021405,10966
121021406,5823
121031407,6115
121031408,6785
121031409,4926
121031410,6058
121031411,5999
121031412,5374
121041413,7824
121041414,7496
121041415,10540
121041416,7699
121041417,4146
122011418,6451
122011419,8319
122021420,4151
122021421,3435
122021422,4461
122021423,7247
122031424,4257
122031425,2442
122031426,9092
122031427,4056
122031428,7555
122031429,7170
122031430,5470
122031431,8295
122031432,1079
123011433,4015
123011434,4944
123011435,7266
123021436,6062
123021437,5307
123021438,6006
123021439,0
123021440,5431
123021441,5432
123021442,6577
123021443,5291
123021444,5861
123031445,1749
123031446,2157
123031447,5022
123031448,2540
124011449,2114
124011450,6381
124011451,9
124011452,4978
