Monitor,Site name,Latitude,Longitude
Air quality,Abbot Point,-19.9496,148.0482
Air quality,Aldoga,-23.8403,151.0628
Air quality,Arundel,-27.9441,153.3656
Air quality,Auckland Point,-23.8351,151.2539
Air quality,Ayr,-19.5839,147.4059
Air quality,Boat Creek,-23.8199,151.1538
Air quality,Boyne Island,-23.9408,151.3507
Air quality,Brisbane CBD,-27.4774,153.0281
Air quality,Cannon Hill,-27.4654,153.0872
Air quality,Clinton,-27.3713,151.5934
Air quality,Clinton,-27.4187,153.133
Air quality,Clinton,-19.3212,146.8422
Air quality,Deception Bay,-27.4296,153.1581
Air quality,Deception Bay,-27.1935,153.0347
Air quality,Flinders View,-27.6528,152.7741
Air quality,Gatton,-27.5434,152.3343
Air quality,Jondaryan,-27.3713,151.5934
Air quality,Josephville,-27.9962,152.9255
Air quality,Josephville,-28.0121,152.9217
Air quality,Lutwyche,-27.4166,153.0376
Air quality,Lytton,-27.4065,153.1527
Air quality,Memorial Park,-23.8443,151.2517
Air quality,Menzies,-20.7167,139.492
Air quality,Moranbah,-21.9995,148.0713
Air quality,Mountain Creek,-26.6917,153.1038
Air quality,Mutdapilly,-27.7528,152.6509
Air quality,North Maclean,-27.7708,153.03
Air quality,Pimlico,-19.2871,146.7813
Air quality,Pinkenba,-27.4187,153.133
Air quality,Rocklea,-27.5358,152.9934
Air quality,South Brisbane,-27.4848,153.0321
Air quality,South Gladstone,-23.8626,151.2705
Air quality,Springwood,-27.6125,153.1359
Air quality,Stuart,-19.3212,146.8422
Air quality,Targinie,-23.7744,151.1055
Air quality,The Gap,-20.7264,139.4977
Air quality,Townsville Coast Guard,-19.2542,146.8257
Air quality,West Mackay,-21.1595,149.1549
Air quality,Woolloongabba,-27.4975,153.035
Air quality,Wynnum North,-27.4296,153.1581
Air quality,Wynnum West,-27.4379,153.1495
Storm tide,Boigu Island,-9.24368,142.25396
Storm tide,Bowen,-20.0245,148.2506
Storm tide,Burketown,-17.73335,139.5929
Storm tide,Burnett Heads,-24.7611,152.4005
Storm tide,Cairns,-16.9276,145.7788
Storm tide,Cape Ferguson,-19.279,147.0575
Storm tide,Cardwell,-18.2636,146.0261
Storm tide,Clump Point,-17.8515,146.1053
Storm tide,Cooktown,-15.4608,145.2486
Storm tide,Dalrymple Bay,-21.2519,149.3032
Storm tide,Dauan Island,-9.41119,142.53833
Storm tide,Iama Island,-9.89919,142.766
Storm tide,Karumba,-17.4883,140.8346
Storm tide,Laguna Marina,-20.6055,148.6776
Storm tide,Lucinda,-18.5216,146.3853
Storm tide,Mackay,-21.1066,149.2258
Storm tide,Moa Island (Kubin),-10.23609,142.21449
Storm tide,Moa Island (St Pauls),-10.19568,142.33412
Storm tide,Mooloolaba,-26.6856,153.1326
Storm tide,Mornington Island,-16.6678,139.1708
Storm tide,Mossman,-16.4358,145.4031
Storm tide,Mourilyan,-17.6011,146.1238
Storm tide,Palm Cove,-16.7397,145.6727
Storm tide,Port Alma,-23.5856,150.8595
Storm tide,Rosslyn Bay,-23.1666,150.7916
Storm tide,Shute Harbour,-20.2941,148.7848
Storm tide,Southtrees Island,-23.8538,151.3136
Storm tide,Thursday Island,-10.5863,142.2215
Storm tide,Townsville,-19.2538,146.8295
Storm tide,Ugar Island,-9.50458,143.5468
Storm tide,Urangan,-25.2961,152.9105
Storm tide,Weipa,-12.67,141.8623
Storm tide,Scarborough,-27.183333,153.1
Storm tide,Gold Coast,-27.933333,153.416667
Water quality,Baffle Creek,-24.50861,151.9279
Water quality,Bramble Bay,-27.28288,153.1034
Water quality,Burnett River,-24.86491,152.3439
Water quality,Boyne River (0.0km at mouth),-23.933611,151.356667
Water quality,Boyne River (12.0km from mouth),-24.0044,151.34098
Water quality,Boyne River (2.7km from mouth),-23.958,151.35955
Water quality,Boyne River (4.7km from mouth),-23.96854,151.34711
Water quality,Boyne River (5.1km from mouth at junction with south trees inlet),-23.972222,151.344722
Water quality,Boyne River (8.6km from mouth),-23.983611,151.317778
Water quality,South Trees Inlet (20.0km from mouth 100m from junction with Boyne River),-23.97,151.344
Water quality,Fitzroy River (10.0km from mouth),-23.507222,150.785833
Water quality,Fitzroy River (15.0km from mouth),-23.494444,150.736389
Water quality,Fitzroy River (2.5km from mouth),-23.53169,150.83022
Water quality,Fitzroy River (20.0km from mouth),-23.50538,150.70867
Water quality,Fitzroy River (28.1km from mouth),-23.51081,150.63332
