jurisdiction,Year,data_start_date,data_end_date,first_published_date,last_updated_date,sub_threshold,jurisdiction_facility_id,registered_business_name,facility_name,site_address_street,site_address_suburb,site_address_state,site_address_postcode,site_latitude,site_longitude,ANZSIC code,ANZSIC name,main_activities,substance,destination,quantity_in_kg,mass_balance_estimation,engineering_calculations_estimation,direct_measurement_estimation,emission_factors_estimation,approved_alternative_estimation
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Particulate Matter 10.0 um,Air Fugitive,78468.9,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Oxides of Nitrogen,Air Fugitive,19440.7,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Mercury & compounds,Air Fugitive,0.015404,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Sulfur dioxide,Air Fugitive,12.9173,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Total Volatile Organic Compounds,Air Fugitive,1937.1,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Polycyclic aromatic hydrocarbons (B[a]Peq),Air Fugitive,0.74827,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Fluoride compounds,Air Fugitive,209.8,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Manganese & compounds,Air Fugitive,64.932,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Copper & compounds,Air Fugitive,2.294,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Carbon monoxide,Air Fugitive,7380.7,N,N,N,Y,N
