jurisdiction,Year,data_start_date,data_end_date,first_published_date,last_updated_date,sub_threshold,jurisdiction_facility_id,registered_business_name,facility_name,site_address_street,site_address_suburb,site_address_state,site_address_postcode,site_latitude,site_longitude,ANZSIC code,ANZSIC name,main_activities,substance,destination,quantity_in_kg,mass_balance_estimation,engineering_calculations_estimation,direct_measurement_estimation,emission_factors_estimation,approved_alternative_estimation
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Total Volatile Organic Compounds,Air Point,670.38,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Particulate Matter 2.5 um,Air Point,629.9,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Sulfur dioxide,Air Point,2.11233,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Particulate Matter 10.0 um,Air Point,645.08,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Polycyclic aromatic hydrocarbons (B[a]Peq),Air Point,0.0000306,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Carbon monoxide,Air Point,1973,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Oxides of Nitrogen,Air Point,9170,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q032PKT001,PACKER LEATHER P/L,Packer Leather,101-107 BOUNDARY RD,Narangba,QLD,4504,-27.201435,153.003931,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",Tanning and finishing of leather,Total Volatile Organic Compounds,Air Point,21234,N,Y,N,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Sulfur dioxide,Air Point,3.32260722,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Carbon monoxide,Air Point,18.25098989,N,N,N,Y,N
