jurisdiction,year,data_start_date,data_end_date,first_published_date,last_updated_date,sub_threshold,jurisdiction_facility_id,registered_business_name,facility_name,site_address_street,site_address_suburb,site_address_state,site_address_postcode,site_latitude,site_longitude,ANZSIC code,ANZSIC name,main_activities,substance,destination,quantity_in_kg
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Particulate Matter 2.5 um,Air Total,2868.8
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Zinc and compounds,Air Total,38.2753
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Total Volatile Organic Compounds,Air Total,2607.48
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Copper & compounds,Air Total,2.294
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Manganese & compounds,Air Total,64.932
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Fluoride compounds,Air Total,209.8
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Carbon monoxide,Air Total,9353.7
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Lead & compounds,Air Total,3.681
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Mercury & compounds,Air Total,0.015404
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Oxides of Nitrogen,Air Total,28610.7
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Particulate Matter 10.0 um,Air Total,79113.98
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Polycyclic aromatic hydrocarbons (B[a]Peq),Air Total,0.7483006
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Sulfur dioxide,Air Total,15.02963
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q056BOL001,BORAL RESOURCES (QLD) PTY LIMITED,Boral Quarries West Burleigh,BERMUDA ST,West Burleigh,QLD,4220,-28.115278,153.421389,0911,Gravel and Sand Quarrying,Extraction of rock - crushing and screening,Boron & compounds,Air Total,2.1458
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q032PKT001,PACKER LEATHER P/L,Packer Leather,101-107 BOUNDARY RD,Narangba,QLD,4504,-27.201435,153.003931,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",Tanning and finishing of leather,Total Volatile Organic Compounds,Air Total,21234
