jurisdiction,Year,data_start_date,data_end_date,first_published_date,last_updated_date,sub_threshold,jurisdiction_facility_id,registered_business_name,facility_name,site_address_street,site_address_suburb,site_address_state,site_address_postcode,site_latitude,site_longitude,ANZSIC code,ANZSIC name,main_activities,substance,destination,quantity_in_kg,mass_balance_estimation,engineering_calculations_estimation,direct_measurement_estimation,emission_factors_estimation,approved_alternative_estimation
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU004,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Lowood Sewage Treatment Plant,Forest Hill - Fernvale Road,Lowood,QLD,4311,-27.46919,152.588132,2812,Sewerage and Drainage Services,Sewage treatment plant,Ammonia (total),Land,0.0073,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,"1,2-Dichloroethane",Land,0.000111691,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Lead & compounds,Land,0.000703656,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Vinyl Chloride Monomer,Land,0.000446765,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Dichloromethane,Land,0.00491442,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Zinc and compounds,Land,0.007595013,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Toluene (methylbenzene),Land,0.004579346,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Polycyclic aromatic hydrocarbons (B[a]Peq),Land,2.79228E-06,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Polychlorinated dioxins and furans (TEQ),Land,3.57412E-09,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Phenol,Land,0.004244272,N,N,N,Y,N
