jurisdiction,year,data_start_date,data_end_date,first_published_date,last_updated_date,sub_threshold,jurisdiction_facility_id,registered_business_name,facility_name,site_address_street,site_address_suburb,site_address_state,site_address_postcode,site_latitude,site_longitude,ANZSIC code,ANZSIC name,main_activities,substance,destination,quantity_in_kg,mandatory_destination,mass_balance_estimation,engineering_calculations_estimation,direct_measurement_estimation,emission_factors_estimation,approved_alternative_estimation
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023JSC001,CASSOWARY COAST REGIONAL COUNCIL,Innisfail Sewage Treatment Plant,COQUETTE POINT RD,Innisfail,QLD,4860,-17.535417,146.061087,2812,Sewerage and Drainage Services,Treatment of effluent and approved trade waste,Total Nitrogen,Off-site reuse,53870.7,N,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023JSC001,CASSOWARY COAST REGIONAL COUNCIL,Innisfail Sewage Treatment Plant,COQUETTE POINT RD,Innisfail,QLD,4860,-17.535417,146.061087,2812,Sewerage and Drainage Services,Treatment of effluent and approved trade waste,Total Nitrogen,Off-site landfill,10185.9,Y,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023JSC001,CASSOWARY COAST REGIONAL COUNCIL,Innisfail Sewage Treatment Plant,COQUETTE POINT RD,Innisfail,QLD,4860,-17.535417,146.061087,2812,Sewerage and Drainage Services,Treatment of effluent and approved trade waste,Total Phosphorus,Off-site reuse,27407.9,N,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023JSC001,CASSOWARY COAST REGIONAL COUNCIL,Innisfail Sewage Treatment Plant,COQUETTE POINT RD,Innisfail,QLD,4860,-17.535417,146.061087,2812,Sewerage and Drainage Services,Treatment of effluent and approved trade waste,Total Phosphorus,Off-site landfill,5182.3,Y,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q046SEQ010,QUEENSLAND BULK WATER SUPPLY AUTHORITY TRADING AS SEQWATER,North Stradbroke Island WTP,Gordon Mining Road,North Stradbroke Island,QLD,4183,-27.57868281,153.4392661,2811,Water Supply,Water reservoir operation,Fluoride compounds,Off-site landfill,8.4,Y,Y,N,N,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q046SEQ010,QUEENSLAND BULK WATER SUPPLY AUTHORITY TRADING AS SEQWATER,North Stradbroke Island WTP,Gordon Mining Road,North Stradbroke Island,QLD,4183,-27.57868281,153.4392661,2811,Water Supply,Water reservoir operation,Total Nitrogen,Off-site landfill,345,Y,Y,N,N,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q046SEQ010,QUEENSLAND BULK WATER SUPPLY AUTHORITY TRADING AS SEQWATER,North Stradbroke Island WTP,Gordon Mining Road,North Stradbroke Island,QLD,4183,-27.57868281,153.4392661,2811,Water Supply,Water reservoir operation,Total Phosphorus,Off-site landfill,0.756,Y,Y,N,N,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU002,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Gatton Wastewater Treatment Plant,Railway Street,Gatton,QLD,4343,-27.542609,152.281775,2812,Sewerage and Drainage Services,Wastewater services,Ammonia (total),Off-site reuse,8200,N,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU002,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Gatton Wastewater Treatment Plant,Railway Street,Gatton,QLD,4343,-27.542609,152.281775,2812,Sewerage and Drainage Services,Wastewater services,Ammonia (total),Off-site long term waste storage,20,Y,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU002,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Gatton Wastewater Treatment Plant,Railway Street,Gatton,QLD,4343,-27.542609,152.281775,2812,Sewerage and Drainage Services,Wastewater services,Total Nitrogen,Off-site reuse,12000,N,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU002,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Gatton Wastewater Treatment Plant,Railway Street,Gatton,QLD,4343,-27.542609,152.281775,2812,Sewerage and Drainage Services,Wastewater services,Total Nitrogen,Off-site long term waste storage,230,Y,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU002,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Gatton Wastewater Treatment Plant,Railway Street,Gatton,QLD,4343,-27.542609,152.281775,2812,Sewerage and Drainage Services,Wastewater services,Total Phosphorus,Off-site reuse,3400,N,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU002,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Gatton Wastewater Treatment Plant,Railway Street,Gatton,QLD,4343,-27.542609,152.281775,2812,Sewerage and Drainage Services,Wastewater services,Total Phosphorus,Off-site long term waste storage,490,Y,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Antimony & compounds,On-site tailings storage,23.98883,Y,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Antimony & compounds,Off-site landfill,89.518,Y,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Arsenic & compounds,On-site tailings storage,44.55068,Y,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Arsenic & compounds,Off-site landfill,22.536,Y,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Beryllium & compounds,On-site tailings storage,6.85395,Y,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Boron & compounds,On-site tailings storage,479.7765,Y,N,N,Y,N,N
