jurisdiction,Year,data_start_date,data_end_date,first_published_date,last_updated_date,sub_threshold,jurisdiction_facility_id,registered_business_name,facility_name,site_address_street,site_address_suburb,site_address_state,site_address_postcode,site_latitude,site_longitude,ANZSIC code,ANZSIC name,main_activities,substance,destination,quantity_in_kg,mass_balance_estimation,engineering_calculations_estimation,direct_measurement_estimation,emission_factors_estimation,approved_alternative_estimation
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023JSC001,CASSOWARY COAST REGIONAL COUNCIL,Innisfail Sewage Treatment Plant,COQUETTE POINT RD,Innisfail,QLD,4860,-17.535417,146.061087,2812,Sewerage and Drainage Services,Treatment of effluent and approved trade waste,Total Nitrogen,Water,9292.62,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023JSC001,CASSOWARY COAST REGIONAL COUNCIL,Innisfail Sewage Treatment Plant,COQUETTE POINT RD,Innisfail,QLD,4860,-17.535417,146.061087,2812,Sewerage and Drainage Services,Treatment of effluent and approved trade waste,Total Phosphorus,Water,2150.61,N,N,Y,N,N
QLD,2015,1/01/2014,31/12/2014,15/04/2016,15/04/2016,N,Q022AFD001,BP AUSTRALIA PTY LTD,Cloncurry Terminal,PHILLIP ST,Cloncurry,QLD,4824,-20.7161056,140.5016,3321,Petroleum Product Wholesaling,Bulk petroleum storage facility,Ethylbenzene,Water,0.001,N,Y,N,N,N
QLD,2015,1/01/2014,31/12/2014,15/04/2016,15/04/2016,N,Q022AFD001,BP AUSTRALIA PTY LTD,Cloncurry Terminal,PHILLIP ST,Cloncurry,QLD,4824,-20.7161056,140.5016,3321,Petroleum Product Wholesaling,Bulk petroleum storage facility,Toluene (methylbenzene),Water,0.001,N,Y,N,N,N
QLD,2015,1/01/2014,31/12/2014,15/04/2016,15/04/2016,N,Q022AFD001,BP AUSTRALIA PTY LTD,Cloncurry Terminal,PHILLIP ST,Cloncurry,QLD,4824,-20.7161056,140.5016,3321,Petroleum Product Wholesaling,Bulk petroleum storage facility,Xylenes (individual or mixed isomers),Water,0.002,N,Y,N,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU004,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Lowood Sewage Treatment Plant,Forest Hill - Fernvale Road,Lowood,QLD,4311,-27.46919,152.588132,2812,Sewerage and Drainage Services,Sewage treatment plant,Ammonia (total),Water,7700,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU002,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Gatton Wastewater Treatment Plant,Railway Street,Gatton,QLD,4343,-27.542609,152.281775,2812,Sewerage and Drainage Services,Wastewater services,Ammonia (total),Water,360,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU002,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Gatton Wastewater Treatment Plant,Railway Street,Gatton,QLD,4343,-27.542609,152.281775,2812,Sewerage and Drainage Services,Wastewater services,Chlorine & compounds,Water,19,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Nickel & compounds,Water,0.001208,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Boron & compounds,Water,0.00906,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Selenium & compounds,Water,0.000755,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Arsenic & compounds,Water,0.000755,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Mercury & compounds,Water,0.00000755,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Manganese & compounds,Water,0.001057,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Lead & compounds,Water,0.0000755,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Fluoride compounds,Water,0.0302,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Copper & compounds,Water,0.0000755,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Cobalt & compounds,Water,0.0000755,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Zinc and compounds,Water,0.001359,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Cadmium & compounds,Water,0.00000755,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Chromium (III) compounds,Water,0.0000755,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q080BHP001,SOUTH32 CANNINGTON PTY LTD,Cannington Port Facility,TOWNSVILLE PORT,Townsville,QLD,4810,-19.253466,146.832201,5212,Port and Water Transport Terminal Operations,Storage and Loading of Lead and Zinc Concentrates,Fluoride compounds,Water,2.9,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q080BHP001,SOUTH32 CANNINGTON PTY LTD,Cannington Port Facility,TOWNSVILLE PORT,Townsville,QLD,4810,-19.253466,146.832201,5212,Port and Water Transport Terminal Operations,Storage and Loading of Lead and Zinc Concentrates,Antimony & compounds,Water,0.02,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q080BHP001,SOUTH32 CANNINGTON PTY LTD,Cannington Port Facility,TOWNSVILLE PORT,Townsville,QLD,4810,-19.253466,146.832201,5212,Port and Water Transport Terminal Operations,Storage and Loading of Lead and Zinc Concentrates,Zinc and compounds,Water,1.37,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q080BHP001,SOUTH32 CANNINGTON PTY LTD,Cannington Port Facility,TOWNSVILLE PORT,Townsville,QLD,4810,-19.253466,146.832201,5212,Port and Water Transport Terminal Operations,Storage and Loading of Lead and Zinc Concentrates,Lead & compounds,Water,0.15,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q080BHP001,SOUTH32 CANNINGTON PTY LTD,Cannington Port Facility,TOWNSVILLE PORT,Townsville,QLD,4810,-19.253466,146.832201,5212,Port and Water Transport Terminal Operations,Storage and Loading of Lead and Zinc Concentrates,Copper & compounds,Water,0.04,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q080BHP001,SOUTH32 CANNINGTON PTY LTD,Cannington Port Facility,TOWNSVILLE PORT,Townsville,QLD,4810,-19.253466,146.832201,5212,Port and Water Transport Terminal Operations,Storage and Loading of Lead and Zinc Concentrates,Cadmium & compounds,Water,0.14,N,N,Y,N,N
QLD,2015,1/01/2014,31/12/2014,15/04/2016,15/04/2016,N,Q022BPA001,BP AUSTRALIA PTY LTD,Gladstone Terminal,MCLINTOCK ST,Gladstone,QLD,4680,-23.836922,151.2578389,3321,Petroleum Product Wholesaling,Bulk Petroleum Storage Facility,Xylenes (individual or mixed isomers),Water,0.008,N,Y,N,N,N
QLD,2015,1/01/2014,31/12/2014,15/04/2016,15/04/2016,N,Q022BPA001,BP AUSTRALIA PTY LTD,Gladstone Terminal,MCLINTOCK ST,Gladstone,QLD,4680,-23.836922,151.2578389,3321,Petroleum Product Wholesaling,Bulk Petroleum Storage Facility,Toluene (methylbenzene),Water,0.005,N,Y,N,N,N
QLD,2015,1/01/2014,31/12/2014,15/04/2016,15/04/2016,N,Q022BPA001,BP AUSTRALIA PTY LTD,Gladstone Terminal,MCLINTOCK ST,Gladstone,QLD,4680,-23.836922,151.2578389,3321,Petroleum Product Wholesaling,Bulk Petroleum Storage Facility,Ethylbenzene,Water,0.002,N,Y,N,N,N
QLD,2015,1/01/2014,31/12/2014,15/04/2016,15/04/2016,N,Q022BPA001,BP AUSTRALIA PTY LTD,Gladstone Terminal,MCLINTOCK ST,Gladstone,QLD,4680,-23.836922,151.2578389,3321,Petroleum Product Wholesaling,Bulk Petroleum Storage Facility,Benzene,Water,0.001,N,Y,N,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Manganese & compounds,Water,87.5,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Arsenic & compounds,Water,21.2,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Boron & compounds,Water,589,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Cadmium & compounds,Water,0.147,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Chlorine & compounds,Water,29.1,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Chromium (III) compounds,Water,1.4,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Chromium (VI) compounds,Water,0.0734,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Lead & compounds,Water,1.47,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Mercury & compounds,Water,0.147,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Nickel & compounds,Water,14.1,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Zinc and compounds,Water,9.48,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q019SCL001,STANWELL CORPORATION LIMITED,Stanwell Power Station,CAPRICORN HWY VIA,Gracemere,QLD,4702,-23.508888,150.317777,2611,Fossil Fuel Electricity Generation,Electricity generation using coal or coal derived products,Fluoride compounds,Water,1740,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023TVL002,TOWNSVILLE CITY COUNCIL,Mount St John STP,MT ST JOHN RD,Townsville,QLD,4810,-19.253889,146.743333,2812,Sewerage and Drainage Services,Treatment of wastewater as part of the wastewater service provided to TCC declared sewage areas.,Total Phosphorus,Water,1454.843,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023TVL002,TOWNSVILLE CITY COUNCIL,Mount St John STP,MT ST JOHN RD,Townsville,QLD,4810,-19.253889,146.743333,2812,Sewerage and Drainage Services,Treatment of wastewater as part of the wastewater service provided to TCC declared sewage areas.,Total Nitrogen,Water,6312.087,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023TVL002,TOWNSVILLE CITY COUNCIL,Mount St John STP,MT ST JOHN RD,Townsville,QLD,4810,-19.253889,146.743333,2812,Sewerage and Drainage Services,Treatment of wastewater as part of the wastewater service provided to TCC declared sewage areas.,Ammonia (total),Water,1204.207,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q075COP001,COPPER REFINERIES P/L,GlencoreXstrata Copper - Townsville Operations,HUNTER ST,Stuart,QLD,4811,-19.340132,146.85109,2133,"Copper, Silver, Lead and Zinc Smelting and Refining",ELECTRO-REFINING OF COPPER,Arsenic & compounds,Water,59.4,N,N,Y,N,N
